##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 2, 2015, 12:40 a.m.
## Download Date (Y/M/D): 2015/06/05
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;inclNoJust&quot;:true,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;-2&quot;],&quot;inclFPlinked&quot;:true,&quot;inclHasSource&quot;:true,&quot;kics&quot;:[],&quot;cols&quot;:[&quot;pdepth&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;glat&quot;,&quot;morph&quot;,&quot;swidth&quot;,&quot;ra&quot;,&quot;lcdata&quot;,&quot;figs&quot;,&quot;flags&quot;,&quot;sep&quot;,&quot;sigma&quot;,&quot;sdepth&quot;,&quot;keff&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;pwidth&quot;,&quot;dec&quot;,&quot;kmag&quot;,&quot;glon&quot;],&quot;etvshort&quot;:true,&quot;inclFPnotlinked&quot;:true,&quot;incat1&quot;:true,&quot;inclHasJust&quot;:true,&quot;inclNoSource&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,bjd0,pdepth,sdepth,pwidth,swidth,sep,sigma,morph,Teff,kmag,RA,DEC,GLon,GLat,SC,
9356753,0.5926789,54953.947585,0.3303,0.2411,0.1952,0.1704,0.4999,0.0142,0.76,6021.0000,12.9660,297.0435,45.8669,79.6387,10.1030,False,
3954227,0.5942760,55002.265535,0.1894,-1.0000,0.1127,-1.0000,1.0000,0.0369,0.56,4595.0000,15.9850,291.4929,39.0502,71.5741,10.5749,False,
7698650,0.5991551,54965.214379,0.2426,0.2131,0.2453,0.1354,0.4970,0.0125,0.88,6107.0000,15.2280,296.8058,43.3855,77.3525,9.0521,False,
5792093,0.6005881,54964.644960,0.0405,0.0186,0.1925,0.2897,0.5041,0.0014,0.71,6312.0000,13.9060,292.2002,41.0137,73.6087,10.9669,False,
5887316,0.6030807,54964.667064,0.0018,-1.0000,0.0607,-1.0000,1.0000,0.0004,0.53,6216.0000,13.9890,295.0456,41.1042,74.6927,9.1036,False,
11703960,0.6044168,54965.172759,0.1070,0.1057,0.1598,0.2058,0.5030,0.0077,0.94,-1.0000,13.8850,286.8622,49.8304,80.3656,17.9606,False,
10216186,0.6059390,54965.016594,0.3300,0.0908,0.2046,0.2182,0.4996,0.0060,0.64,6655.0000,13.7700,295.0404,47.2250,80.2011,11.9570,False,
5018787,0.6071918,54965.014611,0.0173,0.0066,0.0807,0.0901,0.4991,0.0009,0.50,5215.0000,15.4280,293.9912,40.1896,73.4941,9.3809,False,
9514070,0.6072561,54999.793852,0.1685,0.0568,0.1899,0.2175,0.5003,0.0037,0.64,6589.0000,15.1790,285.5040,46.1073,76.3762,17.4656,False,
5978521,0.6081507,54964.697771,0.0402,0.0333,0.2634,0.2224,0.4901,0.0032,0.94,6439.0000,13.6760,296.6989,41.2635,75.4387,8.0890,False,
8554005,0.6083407,54954.008239,0.3906,0.3661,0.1294,0.1383,0.5003,0.0191,0.76,7304.0000,12.7100,289.5226,44.6876,76.1479,14.3149,False,
7769072,0.6088629,54965.049919,0.0020,0.0011,0.0819,0.0807,0.5028,0.0002,0.50,4858.0000,13.8860,296.8397,43.4081,77.3846,9.0415,False,
12055517,0.6097517,54999.853497,0.1591,0.1187,0.1037,0.1185,0.5043,0.0180,0.77,4708.0000,15.8790,287.8550,50.5159,81.2788,17.6171,False,
9944907,0.6134398,54964.828885,0.1079,0.0575,0.0636,0.1522,0.5010,0.0060,0.70,-1.0000,13.7010,288.8836,46.8698,78.0306,15.6003,False,
9706078,0.6135606,54954.137288,0.0015,-1.0000,0.0710,-1.0000,1.0000,0.0004,0.56,5692.0000,12.8120,290.0668,46.4928,78.0104,14.7055,False,
7818448,0.6189517,54964.591429,0.1008,0.0999,0.1369,0.1368,0.4994,0.0062,0.65,6222.0000,13.8940,290.4794,43.5018,75.3326,13.1964,False,
5290305,0.6205088,55000.305276,0.2991,0.2628,0.1837,0.1720,0.4978,0.0139,0.80,6542.0000,14.2940,295.8864,40.4560,74.4242,8.2347,False,
7584826,0.6223090,54965.080650,0.2668,0.1125,0.1385,0.1257,0.5032,0.0193,0.62,5599.0000,15.1870,282.3465,43.2845,72.7660,18.5684,False,
3958488,0.6228910,54954.161008,0.0852,0.0797,0.2719,0.2123,0.5030,0.0067,0.96,6939.0000,13.1040,292.6016,39.0632,71.9802,9.8123,False,
9837083,0.6233940,55002.313907,0.0496,0.0329,0.0757,0.0773,0.4997,0.0015,0.51,-1.0000,16.1800,294.3194,46.6196,79.4209,12.1203,False,
10844279,0.6234128,55000.230076,0.1829,0.1706,0.1325,0.1498,0.5005,0.0102,0.82,7037.0000,14.2270,282.9292,48.2602,77.8762,19.8480,False,
12023089,0.6234413,55001.770498,0.0235,0.0152,0.0817,0.0826,0.5007,0.0010,0.51,5115.0000,15.6260,296.5915,50.4900,83.6475,12.5558,False,
7378178,0.6242687,55001.837575,0.0899,0.0724,0.0965,0.0487,0.4752,0.0112,0.71,5612.0000,15.9050,296.1190,42.9653,76.7351,9.2885,False,
8971432,0.6243873,54964.794790,0.0394,0.0083,0.1033,0.0936,0.5016,0.0027,0.55,5057.0000,15.4870,297.5735,45.2333,79.2590,9.4712,False,
5524325,0.6249787,54999.680708,0.1812,0.1715,0.1341,0.1486,0.5029,0.0107,0.83,7181.0000,14.9620,288.9038,40.7710,72.2838,13.1090,False,
7304911,0.6255508,54954.049186,0.0440,0.0438,0.2041,0.2077,0.5015,0.0050,0.95,6683.0000,12.7690,297.8204,42.8854,77.2787,8.1617,False,
11193447,0.6258840,54953.985335,0.0466,0.0434,0.0964,0.0945,0.5009,0.0088,0.63,-1.0000,13.3970,293.3815,48.8248,81.1616,13.6636,False,
7038831,0.6272906,55000.048913,0.0009,-1.0000,0.0776,-1.0000,1.0000,0.0008,0.62,6266.0000,14.3740,293.3968,42.5484,75.4134,10.8617,False,
10229723,0.6287243,54953.684290,0.2423,0.2062,0.2179,0.1241,0.5021,0.0116,0.83,6201.0000,11.9710,299.0200,47.2205,81.5122,9.5811,False,
11904038,0.6322198,54953.858385,0.0047,0.0019,0.2697,0.2365,0.5037,0.0005,0.79,-1.0000,12.7840,285.6081,50.2963,80.5277,18.8780,False,
11509282,0.6340339,54965.036787,0.1909,0.1749,0.1342,0.1688,0.5013,0.0103,0.83,7139.0000,13.7960,292.8708,49.4386,81.5839,14.2298,False,
10351767,0.6350697,54965.114615,0.0363,0.0234,0.1072,0.1101,0.5005,0.0029,0.57,6113.0000,14.5390,296.3203,47.4066,80.7763,11.2724,True,
4037163,0.6354440,55000.227976,0.1268,0.1248,0.0982,0.0984,0.5019,0.0108,0.58,-1.0000,16.6750,285.0801,39.1839,69.5688,15.1512,False,
3437778,0.6355819,55002.016855,0.4513,0.2147,0.1709,0.1676,0.5031,0.0136,0.68,6929.0000,15.7040,289.7997,38.5609,70.5359,11.5456,False,
5022908,0.6372483,54999.972021,0.3059,0.2231,0.2107,0.1210,0.5021,0.0129,0.79,6696.0000,14.3090,295.0124,40.1778,73.8548,8.6868,False,
5716763,0.6406607,54953.982618,0.0000,-1.0000,0.0003,-1.0000,1.0000,0.0001,0.46,5672.0000,12.1070,295.1011,40.9867,74.6079,9.0111,False,
7013934,0.6413681,54953.771807,0.0677,0.0494,0.2569,0.2253,0.4932,0.0033,0.90,7699.0000,12.9400,284.3202,42.5390,72.5747,16.9522,False,
8539850,0.6421045,54964.753653,0.1327,0.1262,0.2248,0.1823,0.5062,0.0090,0.91,7238.0000,13.9240,282.0735,44.6869,74.0899,19.2290,False,
11144556,0.6429797,54954.061015,0.2149,0.1864,0.1367,0.1856,0.5016,0.0114,0.84,6428.0000,13.5510,295.1192,48.7329,81.5995,12.5970,False,
5696909,0.6430031,54964.687693,0.0029,0.0020,0.0603,0.0620,0.4997,0.0004,0.48,5451.0000,14.9840,289.0711,40.9788,72.5319,13.0809,False,
6103049,0.6431712,54964.888912,0.0450,0.0314,0.1099,0.1121,0.5012,0.0032,0.59,5623.0000,15.1470,283.7682,41.4411,71.3497,16.9307,False,
3853673,0.6437959,54965.687811,0.0005,-1.0000,0.0816,-1.0000,1.0000,0.0005,0.52,5727.0000,15.1030,292.3529,38.9425,71.7819,9.9295,True,
9328852,0.6458515,54964.886398,0.3216,0.0713,0.0987,0.0955,0.5020,0.0222,0.54,4338.0000,15.3300,284.9971,45.8867,76.0272,17.7146,True,
7284688,0.6460432,54953.678043,0.0654,0.0568,0.0958,0.0988,0.4996,0.0099,0.63,-1.0000,11.2340,292.6300,42.8293,75.4106,11.4915,False,
10007533,0.6480635,54965.039252,0.2091,0.1619,0.2081,0.1559,0.5054,0.0101,0.87,6808.0000,13.8750,290.0995,46.9872,78.4869,14.8865,False,
3344427,0.6517851,55000.003110,0.3093,0.1923,0.1054,0.1055,0.4984,0.0143,0.56,4676.0000,15.8320,292.0024,38.4352,71.1969,9.9438,False,
8977390,0.6532608,54954.161333,0.2431,0.2349,0.1353,0.1818,0.5050,0.0157,0.86,6427.0000,13.1050,298.9343,45.2977,79.7957,8.6708,False,
5820209,0.6560869,54964.830878,0.0893,0.0652,0.1430,0.1705,0.5288,0.0039,0.81,4750.0000,13.4950,298.9905,41.0645,76.1323,6.4945,False,
7836330,0.6583898,55147.869732,0.0297,-1.0000,0.0558,-1.0000,1.0000,0.0147,0.60,5053.0000,14.2010,296.2497,43.5425,77.2948,9.4815,False,
7458285,0.6606276,54964.863630,0.3503,0.1898,0.1590,0.1973,0.5068,0.0116,0.71,6536.0000,13.5190,295.5428,43.0492,76.6064,9.6990,False,
10226388,0.6606574,54954.116530,0.2579,0.2118,0.1084,0.1681,0.5003,0.0137,0.77,-1.0000,10.7720,298.1489,47.2772,81.2658,10.1233,False,
8579812,0.6610619,55000.069192,0.3933,0.1823,0.1690,0.1795,0.5011,0.0116,0.67,6521.0000,14.8230,298.2288,44.6422,78.9691,8.7765,False,
2447893,0.6616200,54965.113742,0.1819,0.1243,0.1051,0.1030,0.4991,0.0185,0.58,5059.0000,14.4900,292.4240,37.7945,70.7710,9.3571,False,
10275747,0.6617485,54954.274697,0.5464,0.1701,0.1551,0.0980,0.5010,0.0108,0.62,7362.0000,12.7960,292.5385,47.3644,79.5564,13.5391,False,
7835348,0.6640618,54965.175933,0.1067,0.0965,0.2424,0.2467,0.5086,0.0071,0.95,5960.0000,15.3850,295.9784,43.5729,77.2267,9.6687,False,
6302051,0.6658734,54953.670887,0.1931,0.1163,0.1078,0.2354,0.5018,0.0087,0.75,8041.0000,13.3330,296.5376,41.6707,75.7386,8.3928,False,
4936680,0.6662267,54999.866063,0.3948,0.1805,0.1673,0.1796,0.5004,0.0109,0.67,7905.0000,14.3120,295.2389,40.0822,73.8532,8.4890,False,
8285349,0.6671103,54953.782775,0.0737,0.0489,0.2928,0.2368,0.4873,0.0064,0.90,6088.0000,12.2390,285.6162,44.2157,74.5660,16.6969,False,
4954113,0.6680270,55001.996752,0.0333,0.0248,0.2567,0.2502,0.4999,0.0027,0.90,7630.0000,11.9310,298.9136,40.0728,75.2441,6.0392,False,
3127873,0.6715256,54964.982325,0.2038,0.1688,0.1411,0.1639,0.5022,0.0104,0.91,6069.0000,15.1530,294.0107,38.2636,71.7779,8.4669,False,
5615815,0.6742496,55000.136093,0.0312,0.0139,0.2564,0.2810,0.5167,0.0013,0.80,7128.0000,14.8140,290.4942,40.8960,72.9232,12.0727,False,
6692340,0.6748494,54954.130054,0.0146,0.0179,0.2352,0.2329,0.4746,0.0030,0.95,6270.0000,13.3300,292.0900,42.1384,74.5983,11.5412,False,
6531485,0.6769904,54964.798481,0.0215,0.0173,0.0822,0.0879,0.4998,0.0010,0.53,5587.0000,15.5530,294.5879,41.9143,75.2542,9.7869,False,
10095469,0.6777628,54999.865835,0.4759,0.1090,0.1530,0.1410,0.5006,0.0073,0.60,6261.0000,14.6930,298.7059,47.0348,81.2410,9.6742,False,
11027722,0.6781374,54965.137801,0.0010,0.0008,0.0561,0.0518,0.4999,0.0002,0.44,6212.0000,14.2910,290.9058,48.5318,80.1754,15.0219,True,
10972830,0.6784503,54999.995123,0.0002,-1.0000,0.2696,-1.0000,1.0000,0.0002,0.96,-1.0000,10.1730,290.3996,48.4659,79.9716,15.3015,False,
7620664,0.6837179,54965.299098,0.1064,0.0961,0.1785,0.2272,0.5029,0.0078,0.91,6362.0000,13.1120,295.5619,43.2058,76.7531,9.7608,False,
8183540,0.6842080,55000.678631,0.2123,0.1899,0.1593,0.2016,0.5051,0.0129,0.86,6431.0000,14.2650,297.4091,44.0351,78.1421,8.9876,False,
12554536,0.6844956,54953.964623,0.3386,0.1081,0.1667,0.1464,0.4997,0.0072,0.63,7443.0000,12.8190,289.1315,51.5381,82.5863,17.2518,False,
11618883,0.6848719,55139.445921,0.2010,0.1830,0.1903,0.1723,0.5022,0.0110,0.84,4347.0000,13.3770,295.6881,49.6163,82.5790,12.6682,False,
8248812,0.6853660,54964.767313,0.2358,0.1500,0.1723,0.1792,0.4993,0.0051,0.65,7018.0000,13.4170,296.9062,44.1675,78.0812,9.3675,False,
9692336,0.6878983,55000.367977,0.2973,0.1542,0.1657,0.1720,0.4992,0.0065,0.63,-1.0000,17.4900,282.1741,46.4568,75.8869,19.7465,False,
4077442,0.6928423,54954.135030,0.0997,0.0705,0.1014,0.0979,0.4987,0.0149,0.58,4523.0000,13.5120,296.3414,39.1406,73.4347,7.2906,False,
8182360,0.6951460,55000.393803,0.0936,0.0642,0.1846,0.1838,0.4990,0.0025,0.66,6904.0000,15.3210,297.1259,44.0251,78.0326,9.1605,False,
8435247,0.6961296,55288.002380,0.0216,-1.0000,0.0587,-1.0000,1.0000,0.0044,0.55,5046.0000,15.4640,293.5390,44.4949,77.2312,11.6499,True,
5077994,0.6962874,54954.086678,0.2351,0.2306,0.1410,0.1395,0.5001,0.0182,0.67,5620.0000,12.6680,283.7115,40.2359,70.1638,16.5252,False,
3956881,0.6969455,54964.967605,0.0586,0.0681,0.2510,0.2366,0.5044,0.0090,0.95,5574.0000,14.9340,292.1783,39.0760,71.8403,10.1110,False,
11076176,0.6999861,54964.837773,0.4177,-1.0000,0.1224,-1.0000,1.0000,0.0298,0.58,5034.0000,15.6670,287.5766,48.6794,79.4211,17.1056,False,
7433513,0.7011190,54965.266013,0.1488,0.0526,0.1624,0.2867,0.5509,0.0153,0.69,5466.0000,15.4500,288.1163,43.0943,74.2195,14.5951,False,
12108333,0.7054482,54954.106577,0.3563,0.2869,0.1330,0.1324,0.5003,0.0133,0.62,5710.0000,13.2280,289.9579,50.6611,81.9479,16.4362,False,
8094140,0.7064292,54965.148553,0.3722,0.1338,0.0790,0.0757,0.5027,0.0173,0.49,4200.0000,15.1590,290.5572,43.9874,75.8091,13.3508,False,
10259530,0.7072062,54964.593818,0.2579,0.2427,0.1304,0.1737,0.5078,0.0158,0.85,7736.0000,12.1210,284.9397,47.3354,77.4368,18.2648,False,
5123176,0.7078436,54953.905094,0.2817,0.2682,0.1275,0.1442,0.5037,0.0158,0.82,6750.0000,11.4610,297.6401,40.2361,74.8919,6.9620,True,
9475663,0.7080267,54953.858479,0.0418,0.0278,0.1833,0.2626,0.5115,0.0037,0.80,7790.0000,12.4940,295.8615,46.0975,79.4481,10.9352,False,
11017077,0.7085639,54965.107265,0.3438,0.1368,0.1679,0.1953,0.5048,0.0130,0.67,-1.0000,13.4480,284.7395,48.5591,78.5987,18.8143,False,
8231231,0.7116099,54954.089687,0.0160,0.0119,0.2637,0.2271,0.5025,0.0018,0.89,6621.0000,12.3030,291.0407,44.1157,76.0800,13.0906,False,
9551200,0.7119216,54964.907248,0.0665,-1.0000,0.0704,-1.0000,1.0000,0.0258,0.55,5059.0000,15.2160,300.1193,46.1449,80.9581,8.3869,False,
9767437,0.7127220,54953.750593,0.0381,0.0311,0.0784,0.0692,0.5054,0.0063,0.62,4770.0000,12.8420,290.4944,46.5364,78.1763,14.4552,False,
2988984,0.7130196,54999.991556,0.2032,0.1948,0.1236,0.1530,0.5008,0.0119,0.82,7160.0000,15.3160,291.2880,38.1720,70.7023,10.3265,False,
6469946,0.7158021,55003.348197,0.0025,-1.0000,0.0782,-1.0000,1.0000,0.0007,0.51,5097.0000,15.5790,298.9068,41.8356,76.7687,6.9407,False,
5357682,0.7177063,55000.238762,0.1223,0.0715,0.2415,0.2617,0.5307,0.0059,0.83,6435.0000,14.6250,290.3048,40.5700,72.5591,12.0615,False,
8155368,0.7186437,54964.890633,0.2092,0.0725,0.1112,0.1104,0.5013,0.0087,0.57,5525.0000,15.1210,287.8048,44.0492,75.0329,15.1825,False,
9453192,0.7188371,54964.889020,0.2299,0.1774,0.2291,0.1421,0.5033,0.0108,0.83,6729.0000,14.0220,286.0059,46.0489,76.4524,17.1202,False,
11303526,0.7200905,54954.139248,0.1204,0.1024,0.1649,0.1871,0.5006,0.0073,0.86,6471.0000,13.0020,294.9456,49.0303,81.8185,12.8333,False,
7839027,0.7206929,54964.829625,0.1268,0.0971,0.1944,0.2659,0.5103,0.0067,0.88,7500.0000,13.8420,297.0186,43.5300,77.5564,8.9873,False,
9944201,0.7215230,54964.707778,0.0236,0.0072,0.0771,0.0785,0.5008,0.0012,0.48,4737.0000,15.0690,288.4909,46.8050,77.8592,15.8220,False,
12352712,0.7220650,54999.935357,0.2044,0.1676,0.2174,0.1579,0.5019,0.0102,0.90,6667.0000,16.8000,288.9991,51.1113,82.1398,17.1675,False,
9350889,0.7259480,54954.241650,0.2536,0.2257,0.2417,0.1500,0.4979,0.0132,0.89,6725.0000,13.5720,295.0918,45.8428,78.9646,11.2902,False,
6865626,0.7267678,54964.842153,0.1787,0.0942,0.1265,0.0916,0.5007,0.0110,0.65,5611.0000,13.8300,292.5733,42.3502,74.9542,11.3150,False,
3228824,0.7309423,54970.345617,0.0005,-1.0000,0.1630,-1.0000,1.0000,0.0007,0.64,4606.0000,15.7360,289.7648,38.3524,70.3320,11.4800,False,
3228863,0.7309440,54954.262345,0.4863,0.2835,0.1584,0.1164,0.5000,0.0166,0.65,6561.0000,11.8160,289.7748,38.3668,70.3487,11.4792,False,
5703230,0.7314739,54954.358193,0.0486,0.0424,0.2577,0.2250,0.5077,0.0036,0.93,7748.0000,11.7950,291.0714,40.9170,73.1360,11.6888,False,
6669809,0.7337378,54953.998571,0.2449,0.1148,0.1527,0.1176,0.5018,0.0080,0.64,7239.0000,10.7630,283.9097,42.1310,72.0615,17.0851,True,
10383620,0.7345628,54954.131817,0.2358,0.1473,0.1640,0.1762,0.4998,0.0042,0.64,7470.0000,12.8300,280.8377,47.5790,76.7166,20.9648,False,
4451148,0.7359815,54954.391733,0.1347,0.0996,0.1493,0.2361,0.5089,0.0079,0.82,6579.0000,11.1740,287.4395,39.5515,70.6673,13.6249,True,
4762887,0.7365737,54964.777668,0.0201,0.0180,0.2645,0.2455,0.4983,0.0013,0.95,6556.0000,14.3660,295.9128,39.8472,73.8956,7.9231,False,
10119517,0.7374940,54954.000876,0.0350,0.0320,0.2491,0.2782,0.5130,0.0031,0.95,6225.0000,9.9120,281.4811,47.1227,76.3970,20.4091,True,
5770860,0.7375618,54965.274566,0.1178,0.1050,0.1742,0.2025,0.5044,0.0077,0.88,6391.0000,13.8570,284.1901,41.0250,71.0687,16.4820,False,
10711646,0.7376522,54964.686206,0.1101,0.0595,0.0721,0.0604,0.5009,0.0189,0.51,4339.0000,15.7870,282.4360,48.0978,77.6001,20.1072,False,
2449084,0.7397571,55000.324860,0.3870,0.1621,0.1982,0.1896,0.5010,0.0129,0.70,6177.0000,15.0180,292.6956,37.7720,70.8503,9.1560,False,
8590527,0.7397704,54953.871070,0.0225,0.0062,0.0850,0.0857,0.5004,0.0013,0.52,6216.0000,11.6340,301.0482,44.6030,79.9680,7.0303,True,
3848972,0.7410574,55001.998566,0.0021,0.0021,0.0538,0.0475,0.5000,0.0003,0.44,5286.0000,14.4890,291.0713,38.9990,71.3794,10.8457,False,
4554004,0.7425074,55000.152874,0.1851,0.0782,0.1234,0.0976,0.5006,0.0104,0.62,6210.0000,15.0900,289.4853,39.6845,71.4659,12.2482,False,
7119757,0.7429222,54965.303131,0.1696,0.1487,0.1208,0.1139,0.5012,0.0152,0.64,5072.0000,15.6080,292.3985,42.6299,75.1511,11.5550,False,
2719436,0.7434798,54999.716822,0.1995,0.1286,0.1823,0.1878,0.5011,0.0049,0.67,7041.0000,14.0150,292.8332,37.9371,71.0494,9.1355,True,
8539720,0.7444991,54953.984528,0.1759,0.1460,0.2128,0.2112,0.4999,0.0088,0.85,6351.0000,12.9250,281.9884,44.6365,74.0182,19.2692,False,
10724533,0.7450918,54954.395189,0.1278,0.0783,0.1065,0.2660,0.5033,0.0060,0.75,-1.0000,9.0380,289.1585,48.0972,79.2790,15.9123,False,
11408810,0.7492874,54953.873904,0.0108,0.0044,0.2879,0.2219,0.5011,0.0006,0.80,7555.0000,12.6070,294.7304,49.2944,81.9957,13.0777,False,
10905804,0.7510975,54964.888189,0.1715,0.0811,0.1650,0.1895,0.5009,0.0059,0.68,8000.0000,14.4170,283.6692,48.3342,78.1217,19.4070,False,
7220320,0.7521576,55000.142187,0.0252,0.0147,0.1028,0.0999,0.5007,0.0021,0.56,5533.0000,14.0820,297.1082,42.7529,76.9022,8.5512,False,
7707742,0.7583544,54999.750847,0.3495,0.0883,0.1505,0.1207,0.5008,0.0119,0.60,6918.0000,16.9750,298.8995,43.3956,78.1225,7.7350,False,
5529643,0.7597663,54964.790332,0.0005,-1.0000,0.2326,-1.0000,1.0000,0.0006,0.62,5902.0000,15.9320,290.5111,40.7086,72.7559,11.9801,False,
7941635,0.7627242,54965.413382,0.0101,-1.0000,0.0894,-1.0000,1.0000,0.0014,0.52,5131.0000,14.5000,283.5701,43.7361,73.5379,17.8946,False,
6549491,0.7646535,54964.737865,0.0095,0.0037,0.2656,0.2414,0.5085,0.0012,0.79,5597.0000,14.9150,298.7572,41.9771,76.8348,7.1083,False,
4455763,0.7662980,55003.000749,0.0203,-1.0000,0.0889,-1.0000,1.0000,0.0024,0.51,6059.0000,15.5810,289.0765,39.5704,71.2234,12.4849,False,
6283224,0.7664732,55003.357462,0.2110,0.1576,0.0963,0.0959,0.5006,0.0133,0.56,5100.0000,15.5720,291.1915,41.6672,73.8659,11.9349,False,
8479107,0.7675766,54964.817985,0.1691,0.1019,0.0828,0.0784,0.5007,0.0164,0.52,5046.0000,14.9520,284.1256,44.5506,74.4865,17.8110,False,
6432059,0.7697398,54964.754300,0.0119,-1.0000,0.0886,-1.0000,1.0000,0.0033,0.54,5412.0000,14.8400,288.0399,41.8184,72.9910,14.1317,False,
3218683,0.7716695,54965.118326,0.3383,0.2824,0.1300,0.1303,0.4990,0.0169,0.69,5119.0000,15.9980,286.4006,38.3762,69.2239,13.8861,False,
7023917,0.7728420,54953.888778,0.0742,0.0624,0.1253,0.0704,0.4989,0.0043,0.71,-1.0000,10.1150,288.7184,42.5023,73.8461,13.9512,False,
9637239,0.7730257,54954.070919,0.1253,0.0987,0.2468,0.2041,0.5061,0.0073,0.91,7237.0000,13.0460,285.7333,46.3782,76.7011,17.4161,False,
7457163,0.7746042,54954.125929,0.0862,0.0657,0.1951,0.2801,0.5100,0.0048,0.88,6155.0000,12.4420,295.2739,43.0600,76.5220,9.8773,False,
10789421,0.7768524,54953.920414,0.0054,0.0034,0.2479,0.2569,0.5139,0.0004,0.85,-1.0000,11.8490,288.5773,48.1295,79.1529,16.2824,False,
6443392,0.7769761,54953.619364,0.0213,0.0122,0.0907,0.0912,0.5012,0.0005,0.53,-1.0000,12.7230,291.9930,41.8841,74.3330,11.4932,True,
8190491,0.7778768,54965.198125,0.0357,0.0284,0.2555,0.2276,0.4646,0.0022,0.95,5972.0000,14.2500,299.0898,44.0671,78.7775,7.9556,False,
8265951,0.7799575,54954.248763,0.2955,0.2528,0.2002,0.1336,0.5050,0.0161,0.81,7044.0000,12.7340,301.3487,44.1879,79.7259,6.6295,False,
8620561,0.7820468,55002.205025,0.2220,0.1230,0.0861,0.0840,0.5006,0.0117,0.52,4596.0000,16.7840,290.2672,44.7114,76.3958,13.8428,False,
8953296,0.7842945,54965.226457,0.2266,0.0563,0.1451,0.1287,0.5019,0.0043,0.60,6346.0000,13.9010,291.9387,45.2222,77.3872,12.9887,False,
9935245,0.7848597,55000.299645,0.2971,0.1332,0.1385,0.1295,0.5037,0.0331,0.63,5400.0000,16.2560,283.2130,46.8350,76.5152,19.1981,False,
7690843,0.7862605,54954.158345,0.0560,0.0287,0.1549,0.1359,0.5011,0.0015,0.64,4827.0000,11.0830,294.5265,43.3965,76.5660,10.5159,False,
10934755,0.7864843,54964.842450,0.3903,0.1616,0.2019,0.2473,0.5009,0.0112,0.68,7645.0000,14.3970,297.7075,48.3377,82.0621,10.8975,False,
8579707,0.7885922,54953.854633,0.0354,0.0306,0.2473,0.3230,0.5035,0.0020,0.95,6244.0000,11.5440,298.2065,44.6646,78.9808,8.8013,True,
12785282,0.7887499,54953.956353,0.1561,0.1165,0.1313,0.1270,0.5012,0.0125,0.64,6924.0000,13.5180,290.4712,52.0285,83.3919,16.6743,False,
11179657,0.7889122,55001.969148,0.0180,0.0179,0.2916,0.3093,0.5018,0.0035,0.99,-1.0000,17.0650,285.5915,48.8479,79.0899,18.3866,True,
6187893,0.7891676,54954.087252,0.0653,0.0261,0.1387,0.1423,0.5007,0.0007,0.59,5103.0000,11.7020,285.5196,41.5501,71.9677,15.7555,False,
5439790,0.7960862,54954.502903,0.3389,0.3039,0.1930,0.1693,0.5001,0.0159,0.80,6566.0000,13.2480,289.1206,40.6505,72.2421,12.9094,False,
3556229,0.7967201,55000.337668,0.1003,0.0311,0.1476,0.1290,0.5010,0.0047,0.60,-1.0000,17.6560,294.3519,38.6047,72.2094,8.3917,False,
9784230,0.7981975,55000.488964,0.1935,0.1781,0.0880,0.0858,0.5008,0.0092,0.55,-1.0000,17.5790,296.9905,46.5990,80.2734,10.4868,False,
8166095,0.7991270,55000.090085,0.0544,0.0379,0.1723,0.1637,0.5002,0.0030,0.77,7362.0000,16.3170,291.9283,44.0960,76.3435,12.5070,False,
5647008,0.7998622,54965.009201,0.0097,-1.0000,0.0587,-1.0000,1.0000,0.0025,0.54,5444.0000,14.3350,298.5268,40.8584,75.7746,6.6916,False,
6805779,0.8019212,55000.941260,0.0249,0.0220,0.2609,0.2268,0.5050,0.0021,0.94,6200.0000,13.0840,298.7236,42.2586,77.0669,7.2722,False,
6279974,0.8052593,54965.096880,0.0013,-1.0000,0.0655,-1.0000,1.0000,0.0002,0.43,6022.0000,13.7420,290.1265,41.6011,73.4538,12.6247,False,
3633901,0.8073863,54999.658124,0.0214,0.0116,0.2610,0.2199,0.4944,0.0012,0.84,7184.0000,14.9440,287.9176,38.7873,70.1086,12.9724,False,
5991936,0.8074357,55007.926256,0.0010,-1.0000,0.2876,-1.0000,1.0000,0.0011,0.98,8630.0000,13.4240,299.5486,41.2414,76.5016,6.2241,False,
7091476,0.8077356,54954.396778,0.1684,0.1539,0.2386,0.1891,0.5028,0.0113,0.95,6658.0000,13.1640,281.3239,42.6700,71.8862,19.0621,False,
8685306,0.8080821,54954.105322,0.0303,0.0187,0.2504,0.2875,0.5147,0.0020,0.85,6971.0000,11.7950,290.3464,44.8175,76.5192,13.8359,False,
7107567,0.8125981,55000.302817,0.0067,0.0032,0.0761,0.0732,0.5006,0.0004,0.49,6897.0000,14.2350,288.4957,42.6956,73.9590,14.1798,False,
10024144,0.8155959,55001.933820,0.0794,-1.0000,0.0935,-1.0000,1.0000,0.0104,0.75,6073.0000,15.5660,296.5822,46.9597,80.4605,10.9045,False,
