##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 2, 2015, 12:40 a.m.
## Download Date (Y/M/D): 2015/06/05
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;inclNoJust&quot;:true,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;-2&quot;],&quot;inclFPlinked&quot;:true,&quot;inclHasSource&quot;:true,&quot;kics&quot;:[],&quot;cols&quot;:[&quot;pdepth&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;glat&quot;,&quot;morph&quot;,&quot;swidth&quot;,&quot;ra&quot;,&quot;lcdata&quot;,&quot;figs&quot;,&quot;flags&quot;,&quot;sep&quot;,&quot;sigma&quot;,&quot;sdepth&quot;,&quot;keff&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;pwidth&quot;,&quot;dec&quot;,&quot;kmag&quot;,&quot;glon&quot;],&quot;etvshort&quot;:true,&quot;inclFPnotlinked&quot;:true,&quot;incat1&quot;:true,&quot;inclHasJust&quot;:true,&quot;inclNoSource&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,bjd0,pdepth,sdepth,pwidth,swidth,sep,sigma,morph,Teff,kmag,RA,DEC,GLon,GLat,SC,
6144827,0.2346497,54964.644240,0.0419,0.0350,0.1334,0.1571,0.4949,0.0023,0.79,5217.0000,14.9970,297.4123,41.4411,75.8604,7.7098,False,
10030943,0.2357801,54953.677006,0.0081,0.0080,0.2631,0.2552,0.5026,0.0005,1.00,6704.0000,11.3260,298.5518,46.9368,81.1019,9.7171,True,
10965091,0.2358555,54964.696956,0.3437,0.3836,0.1404,0.1064,0.5013,0.0238,0.74,4718.0000,15.2800,286.0731,48.4015,78.7688,17.9309,False,
2715417,0.2364399,54964.666158,0.1060,0.0925,0.1636,0.0680,0.5141,0.0061,0.76,5189.0000,14.0700,291.9690,37.9278,70.7256,9.7376,False,
11413213,0.2374665,55002.095091,0.2354,0.2041,0.1521,0.1753,0.5006,0.0131,0.87,4213.0000,15.8610,296.5389,49.2924,82.5467,12.0281,False,
9077796,0.2380804,54964.645249,0.0644,-1.0000,0.0449,-1.0000,1.0000,0.0074,0.69,3516.0000,15.4390,286.7326,45.4959,76.1139,16.4436,False,
6050116,0.2399081,54964.708006,0.3802,0.3584,0.1557,0.1386,0.4977,0.0198,0.77,4569.0000,14.2580,294.1380,41.3396,74.5792,9.8170,False,
12458797,0.2413212,55182.793465,0.1256,0.1043,0.2589,0.2390,0.4906,0.0104,0.94,4583.0000,13.8950,290.5310,51.3086,82.7162,16.3581,False,
6350020,0.2417928,54964.614171,0.0106,0.0101,0.1350,0.1315,0.5020,0.0011,0.72,5592.0000,15.3830,286.6452,41.7034,72.4528,15.0395,False,
7198474,0.2423046,55000.070149,0.0041,0.0041,0.1485,0.1249,0.5005,0.0008,0.74,5759.0000,15.5560,291.2318,42.7040,74.8344,12.3585,False,
7546791,0.2423615,54964.605160,0.0552,0.0490,0.2444,0.2382,0.5090,0.0040,0.94,5038.0000,13.5660,296.7738,43.1103,77.0974,8.9391,False,
7871200,0.2429038,54953.677320,0.4401,0.3495,0.1462,0.0500,0.5263,0.0225,0.73,4644.0000,12.7990,282.7182,43.6700,73.2458,18.4483,False,
7959612,0.2432138,55000.096253,0.3199,0.2977,0.1330,0.1614,0.5041,0.0171,0.79,5187.0000,16.8890,291.6543,43.7371,75.9245,12.5288,False,
3972629,0.2442402,54964.813965,0.2340,0.1652,0.1491,0.2104,0.4962,0.0169,0.84,5076.0000,14.9310,295.9330,39.0249,73.1772,7.5111,False,
9345163,0.2451223,54964.757218,0.4661,0.4071,0.1622,0.0692,0.5222,0.0261,0.76,4799.0000,15.4580,292.9436,45.8263,78.2595,12.6186,False,
8816790,0.2458562,55001.999460,0.0005,0.0006,0.1920,0.1055,0.4914,0.0002,0.77,6226.0000,13.6930,291.0336,45.0256,76.9241,13.4819,False,
12216817,0.2462731,55002.067959,0.0429,0.0429,0.2324,0.2659,0.5003,0.0095,1.00,6681.0000,10.6620,295.7964,50.8960,83.7802,13.1896,True,
11494583,0.2483419,54964.685201,0.1485,0.1246,0.2445,0.2613,0.4869,0.0107,0.94,4385.0000,15.4390,284.3674,49.4644,79.4133,19.3495,False,
4738426,0.2488352,54964.662098,0.0125,0.0134,0.2718,0.2048,0.5117,0.0012,0.96,6016.0000,15.3350,289.2761,39.8837,71.5806,12.4784,False,
8122124,0.2492776,54964.615506,0.0180,0.0180,0.2477,0.2531,0.5007,0.0019,1.00,6250.0000,13.6380,299.0195,43.9576,78.6563,7.9439,False,
9032671,0.2496079,54953.798542,0.0151,0.0072,0.1537,0.1214,0.5072,0.0007,0.69,4807.0000,12.9820,295.5100,45.3124,78.6247,10.7845,False,
5960283,0.2496681,55110.103244,0.0295,0.0267,0.2446,0.2615,0.5138,0.0024,0.95,5308.0000,15.7610,291.8151,41.2432,73.6866,11.3288,False,
9412114,0.2502522,55001.893873,0.0316,0.0278,0.2070,0.1580,0.5135,0.0028,0.85,5991.0000,15.2260,295.0012,45.9905,79.0686,11.4142,False,
9004380,0.2503325,54964.604049,0.0218,0.0205,0.2714,0.2658,0.4859,0.0021,0.98,6070.0000,14.2380,284.2739,45.3593,75.3203,17.9996,False,
4857282,0.2507526,54904.266931,0.0019,0.0021,0.1313,0.1306,0.4982,0.0004,0.74,5456.0000,14.1730,297.0898,39.9039,74.3908,7.1627,False,
12602985,0.2508689,55002.090625,0.0329,0.0239,0.2593,0.2690,0.5149,0.0049,0.88,4878.0000,15.1520,290.8604,51.6791,83.1553,16.3159,False,
11336707,0.2512982,54964.641035,0.1069,0.0962,0.2139,0.1722,0.5209,0.0069,0.91,4751.0000,14.8040,283.8022,49.1288,78.9481,19.5864,False,
12104285,0.2514509,54964.715703,0.2385,0.2316,0.2092,0.1736,0.5124,0.0154,0.86,4658.0000,15.8410,287.5395,50.6969,81.3791,17.8695,False,
8367007,0.2516160,54964.937599,0.0031,0.0027,0.1293,0.1615,0.5031,0.0005,0.78,6239.0000,13.5320,292.3826,44.3612,76.7335,12.3302,False,
11769739,0.2524728,54964.659858,0.0589,0.0599,0.1505,0.1097,0.4974,0.0032,0.75,5136.0000,15.0330,295.1158,49.9173,82.6823,13.1342,False,
4138301,0.2533791,54964.685221,0.0239,0.0171,0.2457,0.2773,0.4900,0.0025,0.90,5132.0000,14.6970,285.4868,39.2406,69.7502,14.8833,False,
9478836,0.2540637,55002.132513,0.0007,-1.0000,0.1503,-1.0000,1.0000,0.0004,0.69,4939.0000,15.2180,296.9122,46.0248,79.7348,10.2589,False,
12508348,0.2556055,54951.669049,0.0044,-1.0000,0.2449,-1.0000,1.0000,0.0015,0.97,8961.0000,13.4280,290.1735,51.4151,82.7273,16.6052,False,
5685072,0.2559051,54964.626512,0.6102,0.5348,0.1222,0.1170,0.4976,0.0323,0.71,4626.0000,13.1870,283.9091,40.9826,70.9453,16.6630,False,
3839964,0.2561499,54964.791432,0.1013,0.0858,0.1194,0.1202,0.4968,0.0052,0.78,5332.0000,14.6020,288.2939,38.9781,70.4116,12.7856,False,
12598713,0.2571790,54953.677757,0.0279,0.0242,0.2528,0.2670,0.5021,0.0024,0.96,5189.0000,12.7620,288.2682,51.6832,82.5187,17.8034,False,
9700154,0.2572534,54964.793571,0.2490,0.1753,0.1813,0.1770,0.5094,0.0198,0.79,4315.0000,15.4950,286.8548,46.4083,77.0291,16.7085,False,
9662581,0.2580109,55002.116224,0.3650,0.3287,0.0946,0.0777,0.4986,0.0178,0.77,4773.0000,15.8080,296.8872,46.3929,80.0548,10.4505,False,
9777987,0.2585001,55000.072578,0.2564,0.2172,0.0969,0.1496,0.5068,0.0229,0.74,-1.0000,16.2830,294.7955,46.5065,79.4699,11.7773,False,
2856960,0.2585073,54964.658805,0.0100,0.0124,0.1312,0.1016,0.5041,0.0022,0.60,4733.0000,15.6150,292.3813,38.0767,71.0098,9.5159,True,
5611561,0.2586947,55000.009420,0.0910,0.0863,0.1537,0.1303,0.5001,0.0056,0.74,-1.0000,13.9710,289.2022,40.8676,72.4708,12.9444,False,
7339345,0.2596643,54964.777720,0.4084,0.4066,0.1404,0.1661,0.5007,0.0224,0.74,4877.0000,15.2000,282.7368,42.9468,72.5365,18.1839,False,
9288175,0.2609349,54964.746318,0.0060,0.0060,0.2619,0.2459,0.5021,0.0005,0.98,6972.0000,12.5490,294.6843,45.7504,78.7476,11.5000,False,
9392331,0.2617622,55000.339626,0.0779,0.0745,0.1740,0.1322,0.4977,0.0043,0.75,5993.0000,15.6990,285.8676,45.9880,76.3562,17.1871,False,
9239684,0.2618159,54964.791176,0.0025,0.0025,0.2620,0.2603,0.5034,0.0004,1.00,5827.0000,12.5780,298.9106,45.6082,80.0592,8.8409,False,
12004834,0.2623168,55002.041000,0.1661,0.1533,0.1130,0.0945,0.5008,0.0061,0.59,3576.0000,14.7180,286.5380,50.4639,80.9110,18.3801,True,
11284547,0.2624405,54964.538388,0.0409,0.0364,0.2728,0.2547,0.5088,0.0054,0.96,5117.0000,15.4500,284.4069,49.0309,78.9896,19.1803,False,
8045121,0.2631774,54953.761839,0.0055,0.0055,0.2405,0.2177,0.5040,0.0006,1.00,6990.0000,11.9710,297.0398,43.8728,77.8672,9.1406,False,
6106771,0.2638263,54964.616674,0.3648,0.3000,0.1419,0.0723,0.4980,0.0194,0.76,5559.0000,15.4910,285.5787,41.4378,71.8775,15.6716,False,
10557008,0.2654186,54964.640892,0.2726,0.2449,0.1145,0.1601,0.5046,0.0178,0.77,5088.0000,14.6620,299.2204,47.7268,82.0258,9.7163,False,
5785551,0.2666875,55002.019292,0.3562,0.3525,0.1282,0.1184,0.4997,0.0197,0.73,5034.0000,15.0940,290.0881,41.0737,72.9526,12.4258,False,
9388303,0.2667035,55002.002211,0.3241,0.3101,0.1818,0.1207,0.5031,0.0194,0.76,5385.0000,15.5510,283.6258,45.9217,75.7092,18.6204,False,
5773205,0.2668707,55000.123267,0.0504,-1.0000,0.2167,-1.0000,1.0000,0.0302,0.62,-1.0000,19.7420,285.3719,41.0711,71.4640,15.6744,False,
2437038,0.2676785,54964.981170,0.2380,0.2230,0.1797,0.1258,0.5067,0.0197,0.86,5461.0000,15.9550,290.1984,37.7421,69.9235,10.9070,False,
7269843,0.2682156,54964.567796,0.2402,0.2085,0.1089,0.1283,0.4996,0.0130,0.79,5002.0000,15.9620,287.7201,42.8886,73.9048,14.7785,False,
6072578,0.2696718,54862.142079,0.0024,0.0022,0.1268,0.1168,0.5090,0.0004,0.76,5017.0000,14.6770,299.4453,41.3524,76.5573,6.3477,False,
8028158,0.2710391,55110.129439,0.0183,0.0192,0.2002,0.1398,0.5036,0.0023,0.78,5484.0000,15.9300,291.5685,43.8088,75.9632,12.6156,False,
2435971,0.2718280,54964.815967,0.0236,0.0180,0.2366,0.2178,0.4703,0.0026,0.94,-1.0000,14.6950,290.0796,37.7880,69.9236,11.0114,False,
9026766,0.2721278,54964.846798,0.3319,0.3167,0.1726,0.1387,0.4997,0.0184,0.75,4880.0000,14.9980,293.5784,45.3099,77.9879,11.9910,False,
10802917,0.2724524,54999.905793,0.5678,0.5257,0.1335,0.1072,0.4988,0.0317,0.72,4937.0000,15.8670,294.1083,48.1844,80.7883,12.9495,False,
3832382,0.2726487,54964.603149,0.4339,0.3284,0.1574,0.1643,0.5049,0.0244,0.74,4454.0000,15.6910,285.2461,38.9833,69.4296,14.9544,False,
7697065,0.2727656,54964.749102,0.0313,0.0223,0.1550,0.0970,0.4955,0.0015,0.69,5126.0000,15.1150,296.3702,43.3523,77.1682,9.3134,False,
9760531,0.2727979,54953.908884,0.0382,0.0381,0.2249,0.2236,0.4991,0.0022,1.00,6742.0000,9.5400,286.7491,46.5390,77.1273,16.8249,True,
5956588,0.2729067,55001.906729,0.2669,0.2421,0.1489,0.1719,0.4974,0.0161,0.82,5202.0000,15.8330,290.5842,41.2352,73.2661,12.1578,False,
3743834,0.2736148,54964.543136,0.4496,0.3552,0.1335,0.1340,0.4991,0.0200,0.75,4889.0000,14.0760,290.5462,38.8726,71.0807,11.1568,True,
9935311,0.2737752,55001.844519,0.3735,0.3087,0.1597,0.1540,0.5167,0.0306,0.80,4455.0000,14.3440,283.2458,46.8511,76.5392,19.1823,False,
11704155,0.2738674,54953.607917,0.1061,0.0987,0.2581,0.2302,0.5133,0.0099,0.94,5118.0000,12.6000,286.9822,49.8838,80.4473,17.9077,False,
2448320,0.2741085,55002.065503,0.0218,0.0184,0.2439,0.2804,0.5003,0.0032,0.93,5160.0000,15.8580,292.5191,37.7160,70.7351,9.2544,False,
7335517,0.2745039,55001.920777,0.0527,0.0526,0.3200,0.3363,0.5032,0.0033,0.98,10758.0000,15.7500,280.7783,42.9884,72.0625,19.5456,True,
8739802,0.2745129,55001.999865,0.0395,0.0370,0.2519,0.2385,0.5290,0.0053,0.93,5002.0000,14.8820,285.3892,44.9836,75.2495,17.1308,False,
4385109,0.2746477,54964.668303,0.0892,0.0681,0.2477,0.2347,0.5169,0.0073,0.90,4739.0000,15.1330,296.2593,39.4214,73.6506,7.4831,False,
4563150,0.2747205,54964.771023,0.2619,0.2217,0.1639,0.1742,0.5058,0.0153,0.79,4865.0000,13.9970,292.1117,39.6613,72.3477,10.4208,False,
5104097,0.2753953,55000.036675,0.0034,0.0025,0.2561,0.2128,0.5233,0.0007,0.87,6224.0000,15.4470,293.1819,40.2221,73.2338,9.9442,False,
9772642,0.2754317,54953.634752,0.3034,0.2615,0.1244,0.1600,0.5057,0.0164,0.79,4927.0000,13.5470,292.7037,46.5895,78.8888,13.1018,False,
8624778,0.2762617,55000.117411,0.3664,0.3523,0.1895,0.1172,0.5003,0.0185,0.79,6001.0000,17.7100,291.7675,44.7213,76.8700,12.8816,False,
7680593,0.2763915,54964.781296,0.0562,0.0608,0.2784,0.2215,0.5052,0.0060,0.97,5169.0000,15.4450,291.1472,43.3375,75.3924,12.6876,False,
